license_number,license_key,activation_code,customer_name,license_type,issue_date,expiry_date,validity,status
167,0FD8-31F9-577A-EE40,4B2C-2927-B0B1-4E38-B0B1-4E39-B0B1-4E3A,Cliente0167,standard,2025-11-02,PERMANENTE,LIFETIME,active
168,EBFC-C73C-02A6-8253,76AC-3F2B-4C34-24BC-4C34-24BD-4C34-24BE,Cliente0168,standard,2025-11-02,PERMANENTE,LIFETIME,active
169,C724-8BB4-ABAD-0432,2846-3BE1-310D-B832-310D-B833-310D-B834,Cliente0169,standard,2025-11-02,PERMANENTE,LIFETIME,active
170,CA24-EAA6-9244-DF74,FDB7-78EF-B4A6-9700-B4A6-9701-B4A6-9702,Cliente0170,standard,2025-11-02,PERMANENTE,LIFETIME,active
171,EEBF-2F69-4FE8-E868,9A3F-641B-E22B-E7AC-E22B-E7AD-E22B-E7AE,Cliente0171,standard,2025-11-02,PERMANENTE,LIFETIME,active
172,DD7D-43FC-1106-E8A1,0C86-492A-9D4F-6E9B-9D4F-6E9C-9D4F-6E9D,Cliente0172,standard,2025-11-02,PERMANENTE,LIFETIME,active
173,3B04-1944-B949-712A,93BE-928E-0B90-E47F-0B90-E480-0B90-E481,Cliente0173,standard,2025-11-02,PERMANENTE,LIFETIME,active
174,4A15-E973-27C9-1B5F,C28C-80F6-141C-9FE7-141C-9FE8-141C-9FE9,Cliente0174,standard,2025-11-02,PERMANENTE,LIFETIME,active
175,DE3E-9CBC-DB8F-77FC,A01A-87BD-A36B-7F8E-A36B-7F8F-A36B-7F90,Cliente0175,standard,2025-11-02,PERMANENTE,LIFETIME,active
176,240D-6D77-7140-16A5,C855-2DAB-D2FA-E33C-D2FA-E33D-D2FA-E33E,Cliente0176,standard,2025-11-02,PERMANENTE,LIFETIME,active
177,71CC-76A2-C93A-ADB7,CF97-2A7C-C27C-7A2D-C27C-7A2E-C27C-7A2F,Cliente0177,standard,2025-11-02,PERMANENTE,LIFETIME,active
178,6739-2042-6B06-8C66,C3E7-B846-40DE-C137-40DE-C138-40DE-C139,Cliente0178,standard,2025-11-02,PERMANENTE,LIFETIME,active
179,39D1-F2CF-652F-4D06,4823-73A3-4C91-E834-4C91-E835-4C91-E836,Cliente0179,standard,2025-11-02,PERMANENTE,LIFETIME,active
180,0B26-8AB2-60D2-57ED,8A10-6B78-CC1D-DAA9-CC1D-DAAA-CC1D-DAAB,Cliente0180,standard,2025-11-02,PERMANENTE,LIFETIME,active
181,56CC-AA90-1319-AAA7,E42C-E424-69C9-68D5-69C9-68D6-69C9-68D7,Cliente0181,standard,2025-11-02,PERMANENTE,LIFETIME,active
182,C20D-3A58-8586-14AD,221E-232F-65E2-8940-65E2-8941-65E2-8942,Cliente0182,standard,2025-11-02,PERMANENTE,LIFETIME,active
183,A05A-BB78-0106-7366,F43F-4177-7C27-7088-7C27-7089-7C27-708A,Cliente0183,standard,2025-11-02,PERMANENTE,LIFETIME,active
184,2D4E-4F2D-D1CF-3926,090E-F9D1-2AEE-3422-2AEE-3423-2AEE-3424,Cliente0184,standard,2025-11-02,PERMANENTE,LIFETIME,active
185,0EC2-44A1-12BF-51FC,3415-AB5E-B6CB-174F-B6CB-1750-B6CB-1751,Cliente0185,standard,2025-11-02,PERMANENTE,LIFETIME,active
186,4B10-2915-01A5-11C9,A2D4-F33D-FD73-5B0E-FD73-5B0F-FD73-5B10,Cliente0186,standard,2025-11-02,PERMANENTE,LIFETIME,active
187,88D4-FCD5-98A3-4D1F,087B-EEDE-17F9-CACF-17F9-CAD0-17F9-CAD1,Cliente0187,standard,2025-11-02,PERMANENTE,LIFETIME,active
188,E319-863D-AE48-F1B8,D50D-094A-76AE-32BB-76AE-32BC-76AE-32BD,Cliente0188,standard,2025-11-02,PERMANENTE,LIFETIME,active
189,4645-9F58-252A-8F2D,1EDF-B6ED-FAD6-94BE-FAD6-94BF-FAD6-94C0,Cliente0189,standard,2025-11-02,PERMANENTE,LIFETIME,active
190,1A9A-2285-900C-453B,56AC-EC77-2C4A-7B88-2C4A-7B89-2C4A-7B8A,Cliente0190,standard,2025-11-02,PERMANENTE,LIFETIME,active
191,0F0E-54F2-31EB-EAF9,4737-461C-2E20-09CD-2E20-09CE-2E20-09CF,Cliente0191,standard,2025-11-02,PERMANENTE,LIFETIME,active
192,A653-4481-E9D0-4F2E,03A7-23D3-788B-9E64-788B-9E65-788B-9E66,Cliente0192,standard,2025-11-02,PERMANENTE,LIFETIME,active
193,372A-AC29-0E81-6315,7F37-6239-6623-A98A-6623-A98B-6623-A98C,Cliente0193,standard,2025-11-02,PERMANENTE,LIFETIME,active
194,6BAD-911A-9BFD-035F,24AB-287C-BA10-382D-BA10-382E-BA10-382F,Cliente0194,standard,2025-11-02,PERMANENTE,LIFETIME,active
195,7EA4-9BAB-EE34-71F2,FB77-EE00-6A75-AE31-6A75-AE32-6A75-AE33,Cliente0195,standard,2025-11-02,PERMANENTE,LIFETIME,active
196,2443-C7A0-4E82-FC58,AE68-C231-7B81-0882-7B81-0883-7B81-0884,Cliente0196,standard,2025-11-02,PERMANENTE,LIFETIME,active
197,769E-1499-8BAD-6B1B,1FE8-BA4C-1D00-03FD-1D00-03FE-1D00-03FF,Cliente0197,standard,2025-11-02,PERMANENTE,LIFETIME,active
198,E165-3339-C7E8-7CF1,C16E-FBDB-EF4E-776C-EF4E-776D-EF4E-776E,Cliente0198,standard,2025-11-02,PERMANENTE,LIFETIME,active
199,558A-0541-BEC0-09AC,B558-0734-6058-EDE5-6058-EDE6-6058-EDE7,Cliente0199,standard,2025-11-02,PERMANENTE,LIFETIME,active
200,0963-7555-75FB-180F,8513-AA7B-2788-FA0C-2788-FA0D-2788-FA0E,Cliente0200,standard,2025-11-02,PERMANENTE,LIFETIME,active
